Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID,
Sorcererz,The Now Now,Gorillaz,180373,1oMqKkx6eRJda9wNPzUNkg,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Idaho,The Now Now,Gorillaz,222200,78L48MCbzfA0ntsSi8QVNU,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Lake Zurich,The Now Now,Gorillaz,253626,5gtsoAjsBQ0tJUNmBJHNbE,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Magic City,The Now Now,Gorillaz,239613,4bdC7NlhHli2qGsBFK4RW8,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Fire Flies,The Now Now,Gorillaz,233373,76tmIil1IEcsFs8fwGSL1Z,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
One Percent,The Now Now,Gorillaz,141360,6j5mMuj3RoeRNH10QtDFDl,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Souk Eye,The Now Now,Gorillaz,274760,1B0udh1RrHUoTqPdc0LgD9,2S5icSqd4OrTBCX87XchIS,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Intro: I Switched My Robot Off,Humanz (Deluxe),Gorillaz,24013,5pCCNkuE4nTvEjKl64U7UE,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Ascension (feat. Vince Staples),Humanz (Deluxe),Gorillaz | Vince Staples,155973,2bBMODHVTXGwE2aZYfbgCt,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 68kEuyFKyqrdQQLLsmiatm
,,,,,,
Strobelite (feat. Peven Everett),Humanz (Deluxe),Gorillaz | Peven Everett,272666,6XGddj522FQRHXEhBtjiJu,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 0v2oB2xMS64U3lcU5DFuCY
,,,,,,
Saturnz Barz (feat. Popcaan),Humanz (Deluxe),Gorillaz | Popcaan,181906,7l9CE3wmEGOUYw1j4ETjnL,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 62DmErcU7dqZbJaDqwsqzR
,,,,,,
Momentz (feat. De La Soul),Humanz (Deluxe),Gorillaz | De La Soul,196906,2RCp9QBnFSxdKe8RD4xF8s,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 1Z8ODXyhEBi3WynYw0Rya6
,,,,,,
Interlude: The Non-Conformist Oath,Humanz (Deluxe),Gorillaz,21733,0SOFBIQK3vOn3y7Yq0Bwzx,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Submission (feat. Danny Brown & Kelela),Humanz (Deluxe),Gorillaz | Danny Brown | Kelela,201573,2W4yTO3qHdqyvbz2UxfIPh,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 7aA592KWirLsnfb5ulGWvU | 1U0sIzpRtDkvu1hXXzxh60
,,,,,,
Charger (feat. Grace Jones),Humanz (Deluxe),Gorillaz | Grace Jones,214386,2CJ6CRzuRQd46asE1ucuVD,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 2f9ZiYA2ic1r1voObUimdd
,,,,,,
Interlude: Elevator Going Up,Humanz (Deluxe),Gorillaz,4853,5vN4teJoROMQoadL4IzejG,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Andromeda (feat. DRAM),Humanz (Deluxe),Gorillaz | DRAM,197546,2C0KFbb4v9CNWR5c9jWcKC,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 5M0lbkGluOPXLeFjApw8r8
,,,,,,
Busted and Blue,Humanz (Deluxe),Gorillaz,277053,04zxGiXcmNQ0m9oDXtwo18,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Interlude: Talk Radio,Humanz (Deluxe),Gorillaz,19866,5f0FCcrkvyhiRT5wynS0XN,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Carnival (feat. Anthony Hamilton),Humanz (Deluxe),Gorillaz | Anthony Hamilton,135946,5KurnDXzOeIYOMQceYidu7,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 2DzRMyWgjuMbYvt5BLbpCo
,,,,,,
Let Me Out (feat. Mavis Staples & Pusha T),Humanz (Deluxe),Gorillaz | Mavis Staples | Pusha T,175813,44PelqgstAM0lb8rHPKfHq,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 0cTSCsVx04SSht9V6cpKN0 | 0ONHkAv9pCAFxb0zJwDNTy
,,,,,,
Interlude: Penthouse,Humanz (Deluxe),Gorillaz,11666,5Qb7Xzno6RrmIKEAybLBOW,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Sex Murder Party (feat. Jamie Principle & Zebra Katz),Humanz (Deluxe),Gorillaz | Jamie Principle | Zebra Katz,259253,0rOP1naZV8zL7ahMNTDXhL,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 5obQFNrkFoWB51hm1JTHMw | 5Tz4zMiRWqiQVAymWZz99a
,,,,,,
She's My Collar (feat. Kali Uchis),Humanz (Deluxe),Gorillaz | Kali Uchis,209560,3lIxtCaROdRDuTnNBDm3n2,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ | 1U1el3k54VvEUzo3ybLPlM
,,,,,,
Interlude: The Elephant,Humanz (Deluxe),Gorillaz,11680,0lFjKxkSIEMOVgTevxl67A,0NvirtaDCaZU5PAW1O5FDE,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
