7eujcpve3ivv0a4goufd3gf2y,1JmAj9IDoUoyjQxFkcMO8E,Top50 Senegal,Vivianne Chidid Youssou Ndour Dip Doundou Gis Wally Seck Etc Current trending and excting songs coming out of the wess African country with a very rich culture,false
track ID,Track title,href,duration (ms),explicit,Artist ID,album ID,Album Name,Album Type
7w6zHWTvaUG4d3OVIYJ7kj,Alicai Harley,https://api.spotify.com/v1/tracks/7w6zHWTvaUG4d3OVIYJ7kj,135882,False,4kIu81jSOm4y5fZU2ipSg2,2dIK0wr43nM3NYHqf8Auzy,Alicai Harley,single
22KgjjI1nP9FB7HSxo9N96,Bine Bine,https://api.spotify.com/v1/tracks/22KgjjI1nP9FB7HSxo9N96,278586,False,2YoRPc8bzxxEuK2rYbeWf5,68BJR9KixRkPO6yEe1Jzbd,Sa Lii Sa L,album
0QjzqML0LKd7VBmiM3T6ed,Conquer the World (feat Akon),https://api.spotify.com/v1/tracks/0QjzqML0LKd7VBmiM3T6ed,185493,False,77zlytAFjPFjUKda8TNIDY,56CjdUF2WjHYYZZ9GsHjsL,Africa Rekk (Rdition),album
7mNhIk6TPBbNgCU4rC1MgP,Wetoon na,https://api.spotify.com/v1/tracks/7mNhIk6TPBbNgCU4rC1MgP,214698,False,0VLSACiskWZ7DUL0TJHXFx,4F0bnfmmp3zPcVQxtJGZnm,Wetoon na,single
5xtaMHx2VPYMcsNGZqmSWj,Rap Mbalakh (feat Papa Ndiaye Thiopete  Ada Samb),https://api.spotify.com/v1/tracks/5xtaMHx2VPYMcsNGZqmSWj,234078,False,4BsEBIWjSkAY7XIjt7yFHi,6uz8NLk8Eb2jIJLoVJstKc,Iqra,album
2yDDukc4J9puDakfeEy2fM,Gen ji dekk,https://api.spotify.com/v1/tracks/2yDDukc4J9puDakfeEy2fM,336364,False,2krR9iuYohEJaaHlgpwsjK,2llnoP5nRMEty05NOLpuEF,Titi la lionne,album
1B8UbkDH6MsdrKck7ZUAdP,Laax Jaay,https://api.spotify.com/v1/tracks/1B8UbkDH6MsdrKck7ZUAdP,348826,False,4nnxyRURTnR5bO1rUWMe4N,4edwa0G5nsQh8zQj61lVUY,Nanga Def,album
629Tdpl68RmGIbsPCrgiUn,Diayoulen,https://api.spotify.com/v1/tracks/629Tdpl68RmGIbsPCrgiUn,232466,False,0K9ZqrDrsL9vjv3GT0agE1,3shfvtDp0wxiEw84YPoBo8,Diayoulen,single
534bUiShSREzWfE5TmeukU,Solution,https://api.spotify.com/v1/tracks/534bUiShSREzWfE5TmeukU,313720,False,6lBsxpfMoKJiw7hK3KrgXY,5mDvipcOHsaCARblbnw1Hg,Solution,album
7B5CkYvmoJxub9ozUyjIyT,Negu Gorr,https://api.spotify.com/v1/tracks/7B5CkYvmoJxub9ozUyjIyT,216071,False,6Lq4CjT2j15j6UkqqjEguO,4mWnG5zHZHGQK8uNIVbFoZ,Negu Gorr,single
6QvPUS949eRZ7HPOu8UaqT,LNN,https://api.spotify.com/v1/tracks/6QvPUS949eRZ7HPOu8UaqT,242808,False,42A1uhQc0Rln9VlVGsll0m,2M0xmpNABXXwCB9jkJ6KVf,LNN (Loo eme kk),album
3WGcERx0CagEg7zP0xNO0s,Kima Doon Seet,https://api.spotify.com/v1/tracks/3WGcERx0CagEg7zP0xNO0s,352886,False,2BeowfnqveooLkY8Z7Cpeo,5w8nXLJFz5nZekOPL5Pymb,From Mdina,album
1OpH5TH5DHHjrV03IXVpDi,Bombe,https://api.spotify.com/v1/tracks/1OpH5TH5DHHjrV03IXVpDi,322533,False,1bkrYarhIxGbcjRLn0Dkqc,3DbWLm44CR73wfeRm8SF1j,Songa Ma,album
1C9OqOiJf4VQYVkC1wT5sw,Music,https://api.spotify.com/v1/tracks/1C9OqOiJf4VQYVkC1wT5sw,343920,False,2krR9iuYohEJaaHlgpwsjK,1UjRtUosISyfiqBbbFF6v6,Titi faon,album
1via5vsydRaCypBZTxeoTj,Songa Ma,https://api.spotify.com/v1/tracks/1via5vsydRaCypBZTxeoTj,361346,False,1bkrYarhIxGbcjRLn0Dkqc,3DbWLm44CR73wfeRm8SF1j,Songa Ma,album
2uwZtBNRg7NeQQpShxRIen,Askanu Laob,https://api.spotify.com/v1/tracks/2uwZtBNRg7NeQQpShxRIen,370546,False,6vkCtVSCBPAIZtVadZC7qv,4gNWvqBqo8kG5VOyKg5WZm,Licii Jamano,album
4bm08xwAL9qX4gVvb61HBW,La Famille,https://api.spotify.com/v1/tracks/4bm08xwAL9qX4gVvb61HBW,197647,False,4jXLwmp2AhoxoaPr14fagb,5acKiBg2NHTwnTOMCAGlRT,Senegalboy,album
