Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID
All Screwed Up,Stiff Upper Lip,AC/DC,276400,2filqLyVGxteotSCD8b4Jt,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Give It Up,Stiff Upper Lip,AC/DC,235693,3rwdLlTki1Y5YLU9DOU4ks,5JPVHEB67TREre4Q8JOfCQ,711MCceyCBcFnzjGY4Q7Un
Hard as a Rock,Ballbreaker,AC/DC,271000,1gij27s31tFKcTHa8f1u4g,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Cover You in Oil,Ballbreaker,AC/DC,272640,56OSb0BpuPI9tp4tDvhC8i,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
The Furor,Ballbreaker,AC/DC,250693,6ijCRYmsTbeOWp4qEgl9e0,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Boogie Man,Ballbreaker,AC/DC,246973,2eeDDhFzhTi78mVOQMEnDw,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
The Honey Roll,Ballbreaker,AC/DC,335026,6EV7R20p1qHi1HwldZorHi,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Burnin' Alive,Ballbreaker,AC/DC,305506,4iAZhaVvrX1d1By5f0QWSB,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Hail Caesar,Ballbreaker,AC/DC,314426,5Pa0DPtpyGUlpRJgxq9BMk,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Love Bomb,Ballbreaker,AC/DC,194133,0uCshTeOj3C39Qj4bS539q,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Caught with Your Pants Down,Ballbreaker,AC/DC,254533,0vT0i6fUPaE0UB4BO74bFI,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Whiskey on the Rocks,Ballbreaker,AC/DC,275133,4KytLdPRCctWfEvXRhbHB4,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Ballbreaker,Ballbreaker,AC/DC,270760,1TJX5KxBVqwqPPUPH16MFL,1zXYNAA57WJ33GgZJHchhX,711MCceyCBcFnzjGY4Q7Un
Thunderstruck - Live - 1991,Live,AC/DC,395226,4f5V6rbtGt67AWtNGRS9vx,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Shoot to Thrill - Live - 1991,Live,AC/DC,320466,78OmqSJbNCPvzoewaDRJvy,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Back In Black - Live - 1991,Live,AC/DC,266533,5dvfYJR8yXaO9SHtqJWeL5,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Who Made Who - Live - 1991,Live,AC/DC,315000,56uIblkbP8nt42e4h7NYcC,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Heatseeker - Live - 1991,Live,AC/DC,215933,1dJOOi2Byt4uWFDJWqR6AR,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
The Jack - Live - 1991,Live,AC/DC,416626,5fMM9S5N2MloZXHCT08WC6,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Moneytalks - Live - 1991,Live,AC/DC,258266,6prcnLMTKrcHzvp4XwUnUj,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Hells Bells - Live - 1991,Live,AC/DC,360360,3aSUhKMYQkfEOjkdBwWcoC,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Dirty Deeds Done Dirt Cheap - Live - 1991,Live,AC/DC,302093,4SUhlKM0n3ejiHQwqTjb9F,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Whole Lotta Rosie - Live - 1991,Live,AC/DC,269973,4eoGQROWDgOs43F0WEYR8a,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
You Shook Me All Night Long - Live - 1991,Live,AC/DC,232600,4QR6LcLBL8bLDd6lbNwmbC,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Highway to Hell - Live - 1991,Live,AC/DC,237200,5Mu7WviNvT9yJeF79V1HS5,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
T.N.T. - Live - 1991,Live,AC/DC,227706,6MWkewqqntx7y6AyOqEoXM,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
For Those About to Rock (We Salute You) - Live - 1991,Live,AC/DC,437640,5v2EJjf4VcVvXQT5P84twb,1dmBXO2zmCbsf8qAicqbs0,711MCceyCBcFnzjGY4Q7Un
Thunderstruck - Live - 1991,Live (Collector's Edition),AC/DC,395226,726FgWV2ZRP5rkJ5MfGbSr,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Shoot to Thrill - Live - 1991,Live (Collector's Edition),AC/DC,320933,4D3qnFFio2eUuiwCM4O023,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Back In Black - Live - 1991,Live (Collector's Edition),AC/DC,267373,1MfedNodDKkvTVkNkwIBSo,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Sin City - Live - 1991,Live (Collector's Edition),AC/DC,340666,5KCCaVQOSe4gLzyGJ3oZnL,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Who Made Who - Live - 1991,Live (Collector's Edition),AC/DC,315066,5bx6dKRA1X04ZeTfxCNJMA,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Heatseeker - Live - 1991,Live (Collector's Edition),AC/DC,216333,6WnA9KrJ3r9YfJOmxmZRaC,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Fire Your Guns - Live - 1991,Live (Collector's Edition),AC/DC,218866,3dduxlMxKeJzAYMBWjCHbP,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Jailbreak - Live - 1991,Live (Collector's Edition),AC/DC,881800,6OvZ0eYTiRbvE4yflbKlnt,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
The Jack - Live - 1991,Live (Collector's Edition),AC/DC,416666,2HBUDl71pACQkvOnhpo1ra,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
The Razors Edge - Live - 1991,Live (Collector's Edition),AC/DC,274466,6TiX53RD1JzwV5saZRIt5z,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Dirty Deeds Done Dirt Cheap - Live - 1991,Live (Collector's Edition),AC/DC,302693,6r9ruVF8mF1QTH1J2S89G3,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
